plate_id,clone_id,prep_id,valid_wells,rate_per_min,technical_cv,fold_vs_parent,decision,flags,stock_location
DEMO01,C03,C03_prep1,2,0.029071459821428572,0.008010103956364048,1.4631543988649423,retest_candidate,,DEMO_ONLY/boxA/C03
DEMO01,C11,C11_prep1,2,0.026999849107142853,0.008765554160097942,1.3588910991214365,retest_candidate,,DEMO_ONLY/boxA/C11
DEMO01,C28,C28_prep1,2,0.021239763392857144,0.0026309915855003006,1.0689883972115706,below_retest_threshold,,DEMO_ONLY/boxA/C28
DEMO01,C20,C20_prep1,2,0.021180434821428572,0.0017255226047071112,1.0660024150559686,below_retest_threshold,,DEMO_ONLY/boxA/C20
DEMO01,C10,C10_prep1,2,0.02112023125,0.0023328433186798744,1.0629723945167808,below_retest_threshold,,DEMO_ONLY/boxA/C10
DEMO01,C15,C15_prep1,2,0.021118052678571426,0.0022685086146223294,1.0628627479290782,below_retest_threshold,,DEMO_ONLY/boxA/C15
DEMO01,C32,C32_prep1,2,0.020889041964285714,0.002985140088368731,1.0513367345794713,below_retest_threshold,,DEMO_ONLY/boxA/C32
DEMO01,C01,C01_prep1,2,0.020591049107142854,0.004081612902258313,1.0363388788667862,below_retest_threshold,,DEMO_ONLY/boxA/C01
DEMO01,C29,C29_prep1,2,0.020477209821428574,0.009194479309351175,1.0306093952880595,below_retest_threshold,,DEMO_ONLY/boxA/C29
DEMO01,C30,C30_prep1,2,0.01988803125,0.002240688328711174,1.0009562845121343,below_retest_threshold,,DEMO_ONLY/boxA/C30
DEMO01,C24,C24_prep1,2,0.019876324107142858,0.0035593117256669258,1.0003670689146105,below_retest_threshold,,DEMO_ONLY/boxA/C24
DEMO01,C25,C25_prep1,2,0.01960730982142857,0.0009497561026178855,0.9868276925668759,below_retest_threshold,,DEMO_ONLY/boxA/C25
DEMO01,C18,C18_prep1,2,0.018985638392857145,0.003329906305630986,0.9555392298976408,below_retest_threshold,,DEMO_ONLY/boxA/C18
DEMO01,C02,C02_prep1,2,0.018319674107142858,0.005337857895476975,0.9220215262764566,below_retest_threshold,,DEMO_ONLY/boxA/C02
DEMO01,C22,C22_prep1,2,0.018281131250000002,0.0029841308736591864,0.9200816804166411,below_retest_threshold,,DEMO_ONLY/boxA/C22
DEMO01,C16,C16_prep1,2,0.017850656250000003,0.0025272691383376317,0.898416053932101,below_retest_threshold,,DEMO_ONLY/boxA/C16
DEMO01,C13,C13_prep1,2,0.017345713392857145,0.0012893547143235156,0.8730024913816773,below_retest_threshold,,DEMO_ONLY/boxA/C13
DEMO01,C14,C14_prep1,2,0.017180095535714285,0.005579621225971101,0.8646670139857143,below_retest_threshold,,DEMO_ONLY/boxA/C14
DEMO01,C04,C04_prep1,2,0.017057341964285714,1.1844196436646055e-05,0.8584888781399284,below_retest_threshold,,DEMO_ONLY/boxA/C04
DEMO01,C21,C21_prep1,2,0.016951370535714286,0.001173946677984256,0.853155380516462,below_retest_threshold,,DEMO_ONLY/boxA/C21
DEMO01,C08,C08_prep1,2,0.016926488392857143,0.012865854468029085,0.8519030726860936,below_retest_threshold,,DEMO_ONLY/boxA/C08
DEMO01,C06,C06_prep1,2,0.015578520535714287,0.0059830312558983596,0.7840604149103273,below_retest_threshold,,DEMO_ONLY/boxA/C06
DEMO01,C12,C12_prep1,2,0.015148270535714287,0.005928238540430752,0.7624061125815663,below_retest_threshold,,DEMO_ONLY/boxA/C12
DEMO01,C17,C17_prep1,2,0.014732031250000001,0.0029501575507015856,0.7414569636356868,below_retest_threshold,,DEMO_ONLY/boxA/C17
DEMO01,C05,C05_prep1,2,0.014651213392857142,0.005724642971554662,0.7373894347289255,below_retest_threshold,,DEMO_ONLY/boxA/C05
DEMO01,C31,C31_prep1,2,0.014542784821428572,0.004102351098074982,0.7319322701344109,below_retest_threshold,,DEMO_ONLY/boxA/C31
DEMO01,C26,C26_prep1,2,0.01325612767857143,0.0039373928225952945,0.6671753549342055,below_retest_threshold,,DEMO_ONLY/boxA/C26
DEMO01,C09,C09_prep1,2,0.013185595535714287,0.0004853263056949335,0.6636255017202045,below_retest_threshold,,DEMO_ONLY/boxA/C09
DEMO01,C07,C07_prep1,0,,,,review_measurement,insufficient_valid_technical_wells;nonlinear_or_low_signal,DEMO_ONLY/boxA/C07
DEMO01,C19,C19_prep1,2,0.02798444910714286,0.40574314739094197,,review_measurement,technical_disagreement,DEMO_ONLY/boxA/C19
DEMO01,C23,C23_prep1,0,,,,review_measurement,insufficient_valid_technical_wells;signal_at_or_above_ceiling,DEMO_ONLY/boxA/C23
DEMO01,C27,C27_prep1,2,-0.0030164330357142833,0.015952158025729298,,review_measurement,nonpositive_rate,DEMO_ONLY/boxA/C27
