plate_id,well,clone_id,prep_id,technical_rep,sample_type,assay_id,data_origin,stock_location,raw_slope_per_min,r2,corrected_rate_per_min,flags
DEMO01,B09,PARENT,P01,1,parent,DEMO_LIPA_OPTICAL_V1,synthetic,DEMO_ONLY/boxA/PARENT,0.020311064285714282,0.9999938151438842,0.019297056249999996,
DEMO01,E09,PARENT,P01,2,parent,DEMO_LIPA_OPTICAL_V1,synthetic,DEMO_ONLY/boxA/PARENT,0.020340685714285718,0.9999977793477866,0.019326677678571432,
DEMO01,A02,PARENT,P02,1,parent,DEMO_LIPA_OPTICAL_V1,synthetic,DEMO_ONLY/boxA/PARENT,0.02013584285714286,0.9999822043751747,0.019121834821428575,
DEMO01,H06,PARENT,P02,2,parent,DEMO_LIPA_OPTICAL_V1,synthetic,DEMO_ONLY/boxA/PARENT,0.020286357142857144,0.9999902810680309,0.019272349107142858,
DEMO01,E04,PARENT,P03,1,parent,DEMO_LIPA_OPTICAL_V1,synthetic,DEMO_ONLY/boxA/PARENT,0.02205937857142857,0.9999959239282501,0.021045370535714283,
DEMO01,E11,PARENT,P03,2,parent,DEMO_LIPA_OPTICAL_V1,synthetic,DEMO_ONLY/boxA/PARENT,0.022157685714285714,0.9999903569512999,0.021143677678571428,
DEMO01,B11,PARENT,P04,1,parent,DEMO_LIPA_OPTICAL_V1,synthetic,DEMO_ONLY/boxA/PARENT,0.02112322857142857,0.9999924471023764,0.020109220535714283,
DEMO01,A09,PARENT,P04,2,parent,DEMO_LIPA_OPTICAL_V1,synthetic,DEMO_ONLY/boxA/PARENT,0.020996057142857145,0.9999900432438313,0.01998204910714286,
DEMO01,C12,PARENT,P05,1,parent,DEMO_LIPA_OPTICAL_V1,synthetic,DEMO_ONLY/boxA/PARENT,0.020857414285714283,0.9999955438340021,0.019843406249999997,
DEMO01,B08,PARENT,P05,2,parent,DEMO_LIPA_OPTICAL_V1,synthetic,DEMO_ONLY/boxA/PARENT,0.020771535714285718,0.9999876224086597,0.019757527678571432,
DEMO01,E07,PARENT,P06,1,parent,DEMO_LIPA_OPTICAL_V1,synthetic,DEMO_ONLY/boxA/PARENT,0.020683707142857142,0.9999928390722737,0.019669699107142856,
DEMO01,B07,PARENT,P06,2,parent,DEMO_LIPA_OPTICAL_V1,synthetic,DEMO_ONLY/boxA/PARENT,0.020487635714285718,0.9999909727840084,0.019473627678571432,
DEMO01,G02,PARENT,P07,1,parent,DEMO_LIPA_OPTICAL_V1,synthetic,DEMO_ONLY/boxA/PARENT,0.02142024285714286,0.9999953114861353,0.020406234821428573,
DEMO01,D09,PARENT,P07,2,parent,DEMO_LIPA_OPTICAL_V1,synthetic,DEMO_ONLY/boxA/PARENT,0.02139411428571428,0.9999897759576676,0.020380106249999995,
DEMO01,D06,PARENT,P08,1,parent,DEMO_LIPA_OPTICAL_V1,synthetic,DEMO_ONLY/boxA/PARENT,0.02059367857142857,0.9999939441633929,0.019579670535714282,
DEMO01,E02,PARENT,P08,2,parent,DEMO_LIPA_OPTICAL_V1,synthetic,DEMO_ONLY/boxA/PARENT,0.020509992857142858,0.9999928516504275,0.019495984821428572,
DEMO01,G01,,blank1,1,blank,DEMO_LIPA_OPTICAL_V1,synthetic,,0.001031100000000002,0.9971453640089277,1.7091964285716925e-05,
DEMO01,A03,,blank2,1,blank,DEMO_LIPA_OPTICAL_V1,synthetic,,0.0009974142857142837,0.996299676355963,-1.6593750000001416e-05,
DEMO01,H08,,blank3,1,blank,DEMO_LIPA_OPTICAL_V1,synthetic,,0.0010543928571428549,0.9973390996110639,4.0384821428569775e-05,
DEMO01,A10,,blank4,1,blank,DEMO_LIPA_OPTICAL_V1,synthetic,,0.000984457142857142,0.9971925266258065,-2.9550892857143187e-05,
DEMO01,A12,,blank5,1,blank,DEMO_LIPA_OPTICAL_V1,synthetic,,0.0009626785714285707,0.9977919158392106,-5.132946428571439e-05,
DEMO01,G05,,blank6,1,blank,DEMO_LIPA_OPTICAL_V1,synthetic,,0.0009893071428571426,0.9954345867453833,-2.47008928571425e-05,
DEMO01,D02,,blank7,1,blank,DEMO_LIPA_OPTICAL_V1,synthetic,,0.0010200142857142841,0.9989598844646281,6.0062499999990245e-06,
DEMO01,G06,,blank8,1,blank,DEMO_LIPA_OPTICAL_V1,synthetic,,0.0010727000000000009,0.9959721396575815,5.869196428571577e-05,
DEMO01,E03,,host1,1,host,DEMO_LIPA_OPTICAL_V1,synthetic,,0.0012494857142857144,0.9978726872861214,0.0002354776785714293,
DEMO01,G03,,host2,1,host,DEMO_LIPA_OPTICAL_V1,synthetic,,0.001221000000000001,0.9971614326477442,0.00020699196428571585,
DEMO01,H02,,host3,1,host,DEMO_LIPA_OPTICAL_V1,synthetic,,0.0012131285714285709,0.9965205767482509,0.00019912053571428576,
DEMO01,A05,,host4,1,host,DEMO_LIPA_OPTICAL_V1,synthetic,,0.0011767142857142848,0.9968588859041452,0.00016270624999999974,
DEMO01,G08,,host5,1,host,DEMO_LIPA_OPTICAL_V1,synthetic,,0.0011091571428571442,0.9986780541513919,9.514910714285914e-05,
DEMO01,B04,,host6,1,host,DEMO_LIPA_OPTICAL_V1,synthetic,,0.0012549357142857146,0.9996715940873844,0.00024092767857142945,
DEMO01,F05,,host7,1,host,DEMO_LIPA_OPTICAL_V1,synthetic,,0.0011977785714285727,0.9973725788945137,0.00018377053571428758,
