run_id,plate_id,well,time_s,signal,signal_unit,data_origin
DEMO_RUN_01,DEMO01,B09,0,0.0801493,AU,synthetic
DEMO_RUN_01,DEMO01,B09,30,0.0903456,AU,synthetic
DEMO_RUN_01,DEMO01,B09,60,0.1003812,AU,synthetic
DEMO_RUN_01,DEMO01,B09,90,0.1105976,AU,synthetic
DEMO_RUN_01,DEMO01,B09,120,0.1208225,AU,synthetic
DEMO_RUN_01,DEMO01,B09,150,0.1308492,AU,synthetic
DEMO_RUN_01,DEMO01,B09,180,0.1411181,AU,synthetic
DEMO_RUN_01,DEMO01,E09,0,0.0780094,AU,synthetic
DEMO_RUN_01,DEMO01,E09,30,0.0881148,AU,synthetic
DEMO_RUN_01,DEMO01,E09,60,0.0983541,AU,synthetic
DEMO_RUN_01,DEMO01,E09,90,0.1085634,AU,synthetic
DEMO_RUN_01,DEMO01,E09,120,0.1186732,AU,synthetic
DEMO_RUN_01,DEMO01,E09,150,0.1288426,AU,synthetic
DEMO_RUN_01,DEMO01,E09,180,0.1390077,AU,synthetic
DEMO_RUN_01,DEMO01,A02,0,0.0773823,AU,synthetic
DEMO_RUN_01,DEMO01,A02,30,0.0874244,AU,synthetic
DEMO_RUN_01,DEMO01,A02,60,0.0976226,AU,synthetic
DEMO_RUN_01,DEMO01,A02,90,0.1075491,AU,synthetic
DEMO_RUN_01,DEMO01,A02,120,0.1175506,AU,synthetic
DEMO_RUN_01,DEMO01,A02,150,0.1276136,AU,synthetic
DEMO_RUN_01,DEMO01,A02,180,0.1379141,AU,synthetic
DEMO_RUN_01,DEMO01,H06,0,0.0830117,AU,synthetic
DEMO_RUN_01,DEMO01,H06,30,0.0930181,AU,synthetic
DEMO_RUN_01,DEMO01,H06,60,0.1033273,AU,synthetic
DEMO_RUN_01,DEMO01,H06,90,0.1135188,AU,synthetic
DEMO_RUN_01,DEMO01,H06,120,0.123583,AU,synthetic
DEMO_RUN_01,DEMO01,H06,150,0.1336766,AU,synthetic
